BM	D	RP	R
214567507	2970306.53	74684.93	152971.21
210471469	2942631.81	74848.14	156626.5
209608119	2982703.41	74603.93	161839.75
229574843	2996761.89	73095.55	170578.39
211135082	3040493.28	61453.67	174664.83
215546803	3107954.24	57294.22	172720.95
249509778	3177361.38	90593.76	181454.77
222947119	3104074.32	76993.6	185845.65
224671134	3139311.35	63742.69	192850.01
228014047	3163410.76	67244.78	183772.55
222462991	3144145.61	70154.51	177650.52
214771855	3221326.1	79430.16	174706.1
222858595	3306661.73	63010.86	173348.79
223594688	3248607.39	59795.9	178353.42
231344899	3274770.55	53822.74	189689.6
238409382	3299930.94	43278.37	188229.32
231028326	3283136.33	33289.59	219259.26
241625564	3380089.62	31803.53	229398.77
263528517	3560826.09	-3816.07	232859.54
238524692	3462851.34	-17210.63	251070.23
238815587	3572848.58	-19826.88	239542.42
240656354	3738724.29	-24141.61	281637.79
235020109	3736260.72	-25838.41	334578.1
239513461	3781112.73	-32380.86	316344.63
231958724	3878186.48	-30008.74	344303.29
225062844	3894114.69	-36326.76	347577.31
231716459	4013923.3	-41257.72	374321.58
228447456	4148653.19	-35873.08	399483.27
239621335	4055283.92	-22318.12	422581.69
242846854	4138986.04	-38515.1	410840.29
255288922	4300758.62	-53044.52	393727.49
240328748	4231706.82	-114740.82	397240.44
252559892	4312089.81	-110325.84	434013.78
242529929	4383409.89	-127896.69	402501.69
242142585	4303083.52	-137293.43	332123.22
239965619	4398378.21	-137541.32	356237.7
234678114	4483098.06	-144945.75	347905
240845334	4471533.02	-145472.92	341517.25
235768695	4457816.09	-156866.04	315150.65
247035954	4591607.96	-172111.38	309329.14
247845546	4586504.42	-190546.61	279541.76
244919983	4662195.71	-137589.98	304284.96
270287146	4853850.31	-154764.66	330160.46
